timestamp,registro_id,hora,dia_semana,mes,es_fin_semana,turno,tipo_producto_id,tipo_producto_nombre,produccion_hl_h,temperatura_ambiente,humedad_relativa,precio_gas,eficiencia_caldera,demanda_vapor_real,demanda_vapor_reportada,es_mantenimiento,flag_sensor_error,demanda_p10,demanda_p50,demanda_p90,blackout_flag,data_quality_flag
2025-01-01 00:00:00,PLT-566162,0,2,1,0,noche,PRD-9B4,Mezcla Térmica Industrial,257.31784,22.0611515,70.26747636142952,25.0,0.95,277.9429,282.7791,0,0,277.9429,277.9429,277.9429,0,ok
2025-01-01 01:00:00,PLT-546354,1,2,1,0,noche,PRD-2F1,Solución de Alta Viscosidad,247.39154,24.727614000000003,68.53042914168746,25.092655,0.9464271,277.6555,279.15475,0,0,277.687,277.80038,277.90933,0,ok
2025-01-01 02:00:00,PLT-239252,2,2,1,0,noche,PRD-2F1,Solución de Alta Viscosidad,241.28308,26.057562,74.9574561155468,25.073067,0.946136,278.9381,273.01562,0,0,277.69785,277.93683,278.7264,0,ok
2025-01-01 03:00:00,PLT-200253,3,2,1,0,noche,PRD-9B4,Mezcla Térmica Industrial,245.16254,22.066595,77.06094467213472,25.097761,0.95,267.81158,273.40106,0,0,270.90234,277.83337,278.6746,0,ok
2025-01-01 04:00:00,PLT-140955,4,2,1,0,noche,PRD-2F1,Solución de Alta Viscosidad,227.56348,24.467233,67.65567553382881,25.036892,0.9456335,253.64929,278.33087,0,0,259.33682,277.9244,278.40665,0,ok
2025-01-01 05:00:00,PLT-856191,5,2,1,0,noche,PRD-4C2,Concentrado de Fase Líquida,235.53076,28.208196,71.11121212810791,25.009155,0.9439178,274.3666,269.9781,0,0,260.52838,275.90506,278.6119,0,ok
2025-01-01 06:00:00,PLT-282539,6,2,1,0,mañana,PRD-4C2,Concentrado de Fase Líquida,478.6613,27.413035999999998,82.37092533477568,25.06724,0.92994237,470.08667,254.46324,0,0,259.8564,275.89877,355.3491,0,ok
2025-01-01 07:00:00,PLT-246102,7,2,1,0,mañana,PRD-9B4,Mezcla Térmica Industrial,479.025,27.979458,77.52470692678197,25.039768,0.9295858,456.698,272.67432,0,0,262.97067,277.25482,461.8098,0,ok
2025-01-01 08:00:00,PLT-457406,8,2,1,0,mañana,PRD-7A3,Fluido de Proceso Estándar,491.35123,32.191217,73.23361188585771,25.114098,0.9198937,483.2059,462.1766,0,0,264.25992,278.2389,470.82852,0,ok
2025-01-01 09:00:00,PLT-379248,9,2,1,0,mañana,PRD-4C2,Concentrado de Fase Líquida,474.29663,33.414574,81.05757274821833,24.990126,0.91681826,475.9491,463.40622,0,0,267.3373,278.53363,476.33478,0,ok
